"IPAddress","Status","HostName"
"172.22.128.5","Allocated","03SISP1APPW001-Nic"
"172.22.128.6","Allocated","03SISP1APPW001-BNic"
"172.22.128.7","Allocated","03SISP1APPW002-Nic"
"172.22.128.8","Allocated","03SISP1APPW002-BNic"
"172.22.128.9","Allocated","03SISP1APPW003-Nic"
"172.22.128.10","Allocated","03SISP1APPW003-BNic"
"172.22.128.11","Allocated","03SISP1APPW004-Nic"
"172.22.128.12","Allocated","03SISP1APPW004-BNic"
"172.22.128.13","Allocated","03SISP1APPW005-Nic"
"172.22.128.14","Allocated","03SISP1APPW005-BNic"
"172.22.128.15","Allocated","03SISP1APPW006-Nic"
"172.22.128.16","Allocated","03SISP1APPW006-BNic"
"172.22.128.17","Allocated","03SISP1APPW007-Nic"
"172.22.128.18","Allocated","03SISP1APPW007-BNic"
"172.22.128.19","Allocated","03SISP1APPW008-Nic"
"172.22.128.20","Allocated","03SISP1APPW008-BNic"
"172.22.128.21","Allocated","03SISP1APPW009-Nic"
"172.22.128.22","Allocated","03SISP1APPW009-BNic"
"172.22.128.23","Allocated","03SISP1APPW010-Nic"
"172.22.128.24","Allocated","03SISP1APPW010-BNic"
"172.22.128.25","Allocated","03SISP1APPW011-Nic"
"172.22.128.26","Allocated","03SISP1APPW011-BNic"
"172.22.128.27","Allocated","03SISP1APPW012-Nic"
"172.22.128.28","Allocated","03SISP1APPW012-BNic"
"172.22.128.29","Allocated","03SISP1APPW013-Nic"
"172.22.128.30","Allocated","03SISP1APPW013-BNic"
"172.22.128.31","Allocated","03SISP1APPW014-Nic"
"172.22.128.32","Allocated","03SISP1APPW014-BNic"
"172.22.128.33","Allocated","03SISP1APPW015-Nic"
"172.22.128.34","Allocated","03SISP1APPW015-BNic"
"172.22.128.35","Allocated","03SISP1APPW016-Nic"
"172.22.128.36","Allocated","03SISP1APPW016-BNic"
"172.22.128.37","Allocated","03SISP1APPW017-Nic"
"172.22.128.38","Allocated","03SISP1APPW017-BNic"
"172.22.128.39","Allocated","03SISP1APPW018-Nic"
"172.22.128.40","Allocated","03SISP1APPW018-BNic"
"172.22.128.41","Allocated","03SISP1APPW019-Nic"
